FID;uuid;identifier;createdBy;createdAt0;modifiedBy;modifiedA0;MoundID;Type;Source;Descripti0;LanduseAr0;LanduseOn0;Prominence;Latitude;Longitude;Northing;Easting;Accuracy;HandheldG0;Elevation;FacingDir0;Notes;Photo;HeightMax;DiameterM0;HeightMin;DiameterM1;OtherDime0;Diameter_1;OtherDim_1;ShapeNotes;Associate0;SurfaceMa0;SampleCol0;Chronolog0;Associate1;Condition;Principal0;OtherSour0;Archaeolo0;MostRecen0;MostRecen1;RTDescrip0;CommentsA0;CRMPhotos;FID_1;uuid_1;identifi_1;createdB_1;createdA_1;modified_1;modified_2;ID;FeatureAu0;FeatureTi0;Latitude_1;Longitud_1;Northing_1;Easting_1;Accuracy_1;FeatureTy0;MapSymbol;Source_1;Note;GC;DateCompl0;Descript_1;Classific0;OtherDesc0;Picture;Mound_ID;Precision;x_proj;y_proj
193;1000011505820000000.000000000000000;8414;Adela Sobotkova;2017-09-19 10:47:59.760 GMT;Adela Sobotkova;2017-09-19 10:47:59 GMT;8414;Burial Mound;Legacy verification; ;Annual agriculture;Annual agriculture;Hilltop;42.369820629899998;26.595401371600001;4690917.581000000200000;466686.795392854;3.0;116; ;Southeast;#486;files/app/350e5850-b35f-46f5-874a-97efb4b911f3_image-1505818181719.original.jpg;0;25; ; ; ;0.000000000000000;0.000000000000000; ; ; ;No; ; ;3 - damaged;Agriculture; ;3 - impaired;Agriculture;Last week; ; ; ;1732;1000061506003687707;204164;Briana Barton;2017-09-21 14:21:34.573 GMT;Briana Barton;2017-09-21 14:21:34 GMT;204164;Briana Barton;2017-09-21 17:21:26+03:00; ; ; ; ; ;Mound;Hairy brown circle;TopomapRU 1:50k;1;Y;21/09/2017; ; ; ; ;8414;25;26.5953999;42.3698006
194;1000011505890000000.000000000000000;8415;Adela Sobotkova;2017-09-20 06:21:37.234 GMT;Adela Sobotkova;2017-09-20 06:24:55 GMT;8415;Burial Mound;Legacy verification;2;Pasture (grassland);Pasture (grassland);Hilltop (edge of a cliff!);42.306405736700000;26.558415621000002;4683891.417000000400000;463604.964935638;3.0;116; ;Northeast;#504-505;files/app/0d7863c5-b6f6-4d8d-aa4f-058dacbaa886_image-1505888536437.original.jpg;0;13; ;10; ;0.000000000000000;0.000000000000000; ; ; ;No; ; ;3 - damaged;Natural;looting;3 - impaired;Looting;Last month;01,rect,1.5,0.8,0.8,fresh and manual; ;files/app/95e6b2b1-4b13-4519-a8b3-7217d6b38427_image-1505888731214.original.jpg - files/app/9c3986b1-87f4-4984-9013-7a88804cc0d4_image-1505888842906.original.jpg;1292;1000021505993811782;204547;Isaac Roberts;2017-09-21 11:36:59.887 GMT;Isaac Roberts;2017-09-21 11:36:59 GMT;204547;Isaac Roberts;2017-09-21 14:36:50+03:00;42.3061089814264;26.558010019078;4683858.64014053;463571.364388505; ;Mound;Hairy brown circle;TopomapRU 1:50k;2;Y;21/09/2017; ; ; ; ;8415;top;26.5583992;42.3064003
195;1000011505890000000.000000000000000;8416;Adela Sobotkova;2017-09-20 06:39:28.157 GMT;Adela Sobotkova;2017-09-20 06:39:28 GMT;8416;Extinct Burial Mound;Legacy verification; ;Other (explain in notes) (sand quarry at work);Other (explain in notes);Hilltop;42.308665497299998;26.560872862099998;4684141.281999999700000;463808.783634977;3.0;117; ;Southeast;#506;files/app/d52e1216-e1cd-4213-a1ef-329c8a41acb3_image-1505889578955.original.jpg;0;0; ; ; ;0.000000000000000;0.000000000000000; ; ; ;No; ; ;5 - extinct or near extinct;Excavation; ;5- none or nearly none;Infrastructure;Last week; ; ; ;1288;1000021505993762888;204546;Isaac Roberts;2017-09-21 11:36:13.555 GMT;Isaac Roberts;2017-09-21 11:36:13 GMT;204546;Isaac Roberts;2017-09-21 14:36:01+03:00;42.3083356482214;26.5610147851909;4684104.59683504;463820.291535678; ;Mound;Hairy brown circle;TopomapRU 1:50k;2;Y;21/09/2017; ; ; ; ;8416;35;26.5608997;42.3087006
196;1000011505890000000.000000000000000;8417;Adela Sobotkova;2017-09-20 06:40:50.285 GMT;Adela Sobotkova;2017-09-20 06:41:05 GMT;8417;Extinct Burial Mound;Legacy verification; ;Other (explain in notes) (sand quarry);Other (explain in notes);Hilltop;42.308723706899997;26.560857362099998;4684147.752000000300000;463807.539521905;3.0;117;134;Southeast;#506;files/app/54f1fdd8-f726-4423-8f06-c46fb8b26ed0_image-1505889665798.original.jpg;0;0; ; ; ;0.000000000000000;0.000000000000000; ; ; ;No; ; ;5 - extinct or near extinct;Excavation; ;5- none or nearly none;Infrastructure;Last week; ; ; ;1286;1000021505993736649;204545;Isaac Roberts;2017-09-21 11:35:47.547 GMT;Isaac Roberts;2017-09-21 11:35:47 GMT;204545;Isaac Roberts;2017-09-21 14:35:34+03:00;42.3086496606358;26.5614532658822;4684139.27696791;463856.609370616; ;Mound;Hairy brown circle;TopomapRU 1:50k;2;Y;21/09/2017; ; ; ; ;8417;35;26.5608997;42.3087006
197;1000011505890000000.000000000000000;8418;Adela Sobotkova;2017-09-20 07:05:12.441 GMT;Adela Sobotkova;2017-09-20 07:05:12 GMT;8418;Settlement Mound;Legacy verification;settlement mound;Pasture (grassland);Pasture (grassland);Hilltop;42.310929218699997;26.556277087300000;4684394.599000000400000;463431.326685089;3.0;119; ;Northeast; ;files/app/b1ba7d38-5a8e-4b59-9bb4-50fa670982e3_image-1505891367332.original.jpg;1;100; ; ; ;0.000000000000000;0.000000000000000; ; ;coarse pottery,daub;Yes;Bronze age; ;2 - minor damage;Agriculture; ;2 - good;Agriculture;Last month; ; ; ;1283;1000021505993705382;204544;Isaac Roberts;2017-09-21 11:35:17.294 GMT;Isaac Roberts;2017-09-21 11:35:17 GMT;204544;Isaac Roberts;2017-09-21 14:35:04+03:00;42.3108025809544;26.5561778552301;4684380.58045411;463423.075305805; ;Mound;Hairy brown circle;TopomapRU 1:50k;51;Y;21/09/2017; ; ; ; ;8418;top;26.5562992;42.3109016
198;1000011505890000000.000000000000000;8419;Adela Sobotkova;2017-09-20 08:02:16.049 GMT;Adela Sobotkova;2017-09-20 08:02:16 GMT;8419;Surface Scatter;Survey;EIA,LIA scatter with some prehistory;Annual agriculture;Annual agriculture;Lower slope;42.313152895300000;26.555766306900001;4684641.724999999600000;463390.520204883;3.0;120; ;Southeast;#528-531;files/app/f98924ce-3ddc-4d7b-abeb-c8fc57fe771e_image-1505894564999.original.jpg;0;100; ; ; ;0.000000000000000;0.000000000000000; ;Artefact scatter;pottery, no ac;Yes; ; ;3 - damaged;Agriculture; ;2 - good;Agriculture;Last month; ; ;files/app/73b45be1-da8c-4806-9d9f-0aeed71998b9_image-1505894748828.original.jpg;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0; ;26.5557995;42.3132019
199;1000011505900000000.000000000000000;8420;Adela Sobotkova;2017-09-20 08:27:53.307 GMT;Adela Sobotkova;2017-09-20 08:27:53 GMT;8420;Burial Mound;Legacy verification;top of a cliff;Scrub;Scrub;Hilltop;42.316015632800003;26.555733806399999;4684959.604000000300000;463389.501094111;3.0;121;153.3;North;#533-535;files/app/2bc1dd8c-e5fc-42bd-b2ed-71093dee77cd_image-1505896072589.original.jpg;0;20; ; ; ;0.000000000000000;0.000000000000000; ;Loose artefacts;late RM pottery fragment;Yes; ;files/app/94db4c0b-1ee9-4b07-b2bc-2fed9226f049_image-1505896717942.original.jpg;3 - damaged;Looting; ;3 - impaired;Looting;Last year;"01, rect,3,0.8,1;02,hole"; ;files/app/f7bbeb57-b705-4c6d-8223-c5c514f0e395_image-1505896570380.original.jpg;1279;1000021505993623145;204543;Isaac Roberts;2017-09-21 11:33:56.280 GMT;Isaac Roberts;2017-09-21 11:33:56 GMT;204543;Isaac Roberts;2017-09-21 14:33:41+03:00;42.3155681084613;26.5556003430371;4684909.97036521;463378.243325388; ;Mound;Hairy black diamond with a dot inside;TopomapRU 1:50k;2;Y;21/09/2017; ; ; ; ;8420;top;26.5557003;42.3160019
200;1000011505900000000.000000000000000;8421;Adela Sobotkova;2017-09-20 08:48:32.318 GMT;Adela Sobotkova;2017-09-20 08:48:32 GMT;8421;Burial Mound;Legacy verification;mound 50 m off the point, possibly secondary pile from previous excavation, profile looks like riverine sediment rather than manmade mound;Scrub;Pasture (grassland);Hilltop;42.317825421099997;26.554795634800001;4685160.957999999600000;463313.240576259;3.0;122; ;Southeast;#536-537;files/app/f8e71d44-b1d8-42b9-a698-53722984c500_image-1505897311593.original.jpg;0;16; ; ; ;0.000000000000000;0.000000000000000; ; ; ;No; ; ;4 - seriously damaged;Looting; ;4 - minimal;Looting;Last year;01, round,2.5,2.2,old and dry but not overgrown; ;files/app/1b301152-4bd0-4f45-8583-a37760e30ec8_image-1505897523180.original.jpg;1276;1000021505993581887;204542;Isaac Roberts;2017-09-21 11:33:09.451 GMT;Isaac Roberts;2017-09-21 11:33:09 GMT;204542;Isaac Roberts;2017-09-21 14:33:00+03:00;42.3171264729074;26.5547185843491;4685083.38366206;463306.485207872; ;Mound;Hairy brown circle;TopomapRU 1:50k; ;Y;21/09/2017; ; ; ; ;8421;50;26.5548000;42.3177986
201;1000011505900000000.000000000000000;8422;Adela Sobotkova;2017-09-20 09:04:46.095 GMT;Adela Sobotkova;2017-09-20 09:04:46 GMT;8422;Burial Mound;Survey;mound with big RT and a tortoise;Scrub;Pasture (grassland);Hilltop;42.319578140799997;26.554239759900000;4685355.811999999900000;463268.453386154;3.0;123; ;Northeast;#540,543;files/app/cdd60fd4-8075-465d-a01d-0b932a32b6ca_image-1505898285424.original.jpg;0;22; ; ; ;0.000000000000000;0.000000000000000; ; ; ;No; ; ;4 - seriously damaged;Looting; ;3 - impaired;Looting;Last month;01,round,2.5,2.5,looks machine excavated; ;files/app/50059ebf-201c-4c67-b7d7-9db9a57a4302_image-1505898679041.original.jpg;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0; ;26.5541992;42.3195992
202;1000011505900000000.000000000000000;8423;Adela Sobotkova;2017-09-20 09:47:04.697 GMT;Adela Sobotkova;2017-09-20 09:47:04 GMT;8423;Burial Mound;Legacy verification; ;Scrub;Pasture (grassland);Hilltop;42.318704571600001;26.551432916500001;4685260.030000000300000;463036.652082215;3.0;124; ;North;#564-6;files/app/f7a0963a-7108-40cf-95ce-2bc57a8669da_image-1505900823931.original.jpg;0;25; ; ; ;0.000000000000000;0.000000000000000; ; ; ;No; ; ;3 - damaged;Looting; ;3 - impaired;Looting;Unknown;01,round,3,1,old and overgrown; ;files/app/73a8ab91-2908-4531-bee4-63bdf8620271_image-1505901064086.original.jpg;1275;1000021505993530344;204541;Isaac Roberts;2017-09-21 11:32:15.591 GMT;Isaac Roberts;2017-09-21 11:32:55 GMT;204541;Isaac Roberts;2017-09-21 14:32:09+03:00;42.3185771722917;26.5511535528663;4685246.00584555;463013.556979392; ;Mound;Hairy brown circle;TopomapRU 1:50k;2;Y;21/09/2017; ; ; ; ;8423;10;26.5513992;42.3186989
203;1000011505900000000.000000000000000;8424;Adela Sobotkova;2017-09-20 10:01:21.471 GMT;Adela Sobotkova;2017-09-20 10:01:21 GMT;8424;Burial Mound;Legacy verification;tiny mound with a ditch around;Pasture (grassland);Pasture (grassland);Hilltop;42.317440620600003;26.547131527200001;4685121.564000000200000;462681.456445752;3.0;125; ;North;#567;files/app/3c4029ff-e905-4e19-9090-4bea3f888aef_image-1505901792540.original.jpg;1;8; ; ; ;0.000000000000000;0.000000000000000; ;Other (1.5 m wide, 0.3m deep ditch around it); ;No; ; ;2 - minor damage;Post-depositional; ;2 - good;Topographic or post-depositional;Unknown; ; ; ;1272;1000021505993414844;204539;Isaac Roberts;2017-09-21 11:30:22.148 GMT;Isaac Roberts;2017-09-21 11:30:22 GMT;204539;Isaac Roberts;2017-09-21 14:30:13+03:00;42.3165986393115;26.5467564227455;4685028.23916774;462650.04806864; ;Mound;Hairy brown circle;TopomapRU 1:50k; ;Y;21/09/2017; ; ; ; ;8424;70;26.5471001;42.3174019
204;1000011505900000000.000000000000000;8425;Adela Sobotkova;2017-09-20 10:24:36.873 GMT;Adela Sobotkova;2017-09-20 10:24:36 GMT;8425;Settlement Mound;Legacy verification;settlement mound Tenevo;Pasture (grassland);Pasture (grassland);Valley Bottom or Plain;42.321182100700000;26.556816217100000;4685532.798999999600000;463481.686595197;4.0;12; ;East;#571-572,551,575;files/app/cb4e7052-eb6c-435b-bb06-ee687d167506_image-1505903076088.original.jpg;9;100; ; ; ;0.000000000000000;0.000000000000000; ;Loose artefacts;prehistoric polished shiny pottery, poor visibility, one daub, 2 lithic axes!;No;Chalcolithic, Bronze?;files/app/4941fc43-2b6c-455f-934a-2d017e4278f9_image-1505904224936.original.jpg;3 - damaged;Looting; ;2 - good;Looting;Unknown;01,round,5,1, old overgrown;old large trenches; ;1273;1000021505993496457;204540;Isaac Roberts;2017-09-21 11:31:47.519 GMT;Isaac Roberts;2017-09-21 11:31:47 GMT;204540;Isaac Roberts;2017-09-21 14:31:35+03:00;42.3208561307438;26.5566561933995;4685496.6739802;463468.312058785; ;mound;Hairy brown circle;TopomapRU 1:50k;9;Y;21/09/2017;Settlement mound; ; ; ;8425;top;26.5568008;42.3212013
205;1000011505910000000.000000000000000;8426;Adela Sobotkova;2017-09-20 11:14:37.711 GMT;Adela Sobotkova;2017-09-20 11:14:37 GMT;8426;Burial Mound;Legacy verification; ;Scrub;Scrub;Hilltop;42.330860664500001;26.543699615800001;4686613.176000000000000;462406.640416327;3.0;126; ;South;#577;files/app/37c754e3-cdf3-4780-a980-cf849a2fb0ec_image-1505906143363.original.jpg;3;20; ; ; ;0.000000000000000;0.000000000000000; ; ; ;No; ; ;2 - minor damage;Looting; ;2 - good;Topographic or post-depositional;Unknown; ;poor access due to scrub, old overgrown trenches seen through the scrub; ;1127;1000021505989163064;204500;Isaac Roberts;2017-09-21 10:19:55.294 GMT;Isaac Roberts;2017-09-21 10:20:13 GMT;204500;Isaac Roberts;2017-09-21 13:19:21+03:00;42.3307630917467;26.5440184830594;4686602.2011227;462432.853017284; ;Mound;Hairy brown circle;TopomapRU 1:50k;3;Y;21/09/2017; ; ; ; ;8426;top;26.5436993;42.3308983
206;1000011505910000000.000000000000000;8427;Adela Sobotkova;2017-09-20 11:27:05.779 GMT;Adela Sobotkova;2017-09-20 11:27:05 GMT;8427;Extinct Burial Mound;Legacy verification;mound covering a concrete construction;Scrub;Pasture (grassland);Hilltop;42.334333758100001;26.542538387299999;4686999.326999999600000;462313.043286659;3.0;127; ;East;#578;files/app/c2b2dc2a-0ddf-4bbb-b997-4db28736089f_image-1505906864617.original.jpg;0;14; ; ; ;0.000000000000000;0.000000000000000; ; ; ;No; ; ;4 - seriously damaged;Construction; ;4 - minimal;Infrastructure;Unknown; ; ; ;1867;1000061506005627301;204194;Briana Barton;2017-09-21 14:53:57.287 GMT;Briana Barton;2017-09-21 14:53:57 GMT;204194;Briana Barton;2017-09-21 17:53:46+03:00;42.3344623984342;26.5414231788638;4687014.10525853;462221.246125303; ;Mound;Hairy brown circle;TopomapRU 1:50k;1;Y;21/09/2017; ; ; ; ;8427;85;26.5424995;42.3343010
207;1000011505910000000.000000000000000;8428;Adela Sobotkova;2017-09-20 11:36:27.834 GMT;Adela Sobotkova;2017-09-20 11:36:27 GMT;8428;Burial Mound;Survey;geodetic marker on top, ditch around;Pasture (grassland);Pasture (grassland);Hilltop;42.336230572300003;26.541191465400001;4687210.538999999900000;462203.215749864;3.0;128; ;Northeast;#580;files/app/e12d1b8d-a342-4ef4-83bf-ca0533b0f93f_image-1505907433970.original.jpg;0;18; ; ; ;0.000000000000000;0.000000000000000; ; ; ;No; ; ;2 - minor damage;Construction;geodetic marker;2 - good;Infrastructure;Unknown; ; ; ;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0; ;26.5412006;42.3362007
208;1000011506320000000.000000000000000;8429;Adela Sobotkova;2017-09-25 07:04:06.103 GMT;Adela Sobotkova;2017-09-25 07:04:06 GMT;8429;Burial Mound;Legacy verification; ;Pasture (grassland);Scrub;Valley Bottom or Plain;42.571315741900001;26.523587290700000;4713321.900999999600000;460899.485734279;3.0;0; ;West;#586-587;files/app/8c5eae83-1cc1-47c8-8cb6-d888e5913933_image-1506323581532.original.jpg - files/app/9aabe80c-c857-402f-8cca-243f62faff83_image-1506324113729.original.jpg;0;25; ; ; ;0.000000000000000;0.000000000000000; ; ; ;No; ; ;4 - seriously damaged;Excavation; ;3 - impaired;Other (specify in Annotation) (garbage disposal);Last year;01,crescent,12,4,1.5, SE half of mound seems removed; ; ;1287;1000041505993747447;203454;Samuel Riley;2017-09-21 11:35:58.297 GMT;Samuel Riley;2017-09-21 11:35:58 GMT;203454;Samuel Riley;2017-09-21 14:35:46+03:00;42.5711442938049;26.5234211572719;4713302.94044602;460885.743542952; ;Mound;Hairy brown circle;TopomapRU 1:50k;2;Y;21/09/2017; ; ; ; ;8429;top;26.5235996;42.5713005
209;1000011506320000000.000000000000000;8430;Adela Sobotkova;2017-09-25 07:30:01.418 GMT;Adela Sobotkova;2017-09-25 07:30:01 GMT;8430;Burial Mound;Legacy verification;zawoi centre;Pasture (grassland);Pasture (grassland);Valley Bottom or Plain;42.564328012499999;26.525536148600001;4712545.083999999800000;461055.087616307;3.0;0; ;West;#588-591;files/app/388ab8fc-6793-46dd-a3d8-de2ce46a097e_image-1506324892836.original.jpg;0;12; ; ; ;0.000000000000000;0.000000000000000; ; ; ;No; ; ;5 - extinct or near extinct;Looting??; ;5- none or nearly none;Looting?;Unknown;"01,round,2.5,1.2,manual residual RT on East side; whole mound has been excavated /removed previously"; ;files/app/273872cf-fee7-468e-96ad-a8d8021aae54_image-1506324935560.original.jpg;1335;1000041505995375565;203477;Samuel Riley;2017-09-21 12:03:06.965 GMT;Samuel Riley;2017-09-21 12:03:06 GMT;203477;Samuel Riley;2017-09-21 15:02:54+03:00;42.5644692294639;26.5254137738309;4712560.82149566;461045.13070088; ;Mound;Hairy brown circle;TopomapRU 1:50k;2;Y;21/09/2017; ; ; ; ;8430;top;26.5254993;42.5643005
210;1000011506330000000.000000000000000;8431;Adela Sobotkova;2017-09-25 07:43:39.249 GMT;Adela Sobotkova;2017-09-25 07:43:39 GMT;8431;Burial Mound;Legacy verification;Zawoi, yellow soilmark;Annual agriculture;Annual agriculture;Valley Bottom or Plain;42.566057537699997;26.527231271300000;4712736.353000000100000;461195.29877401;3.0;0; ;Southeast;#592, #593-4 photos of assistants Georgyi i Bozhidar of Zawoi;files/app/f71b97fe-99ac-4534-ab67-c0dba2f23aa8_image-1506325453411.original.jpg;0;18; ; ; ;0.000000000000000;0.000000000000000; ; ; ;No; ; ;4 - seriously damaged;Looting; ;5- none or nearly none;Agriculture;Last month; ; ; ;1337;1000041505995397120;203478;Samuel Riley;2017-09-21 12:03:22.637 GMT;Samuel Riley;2017-09-21 12:03:33 GMT;203478;Samuel Riley;2017-09-21 15:03:15+03:00;42.565885144782;26.5271016045937;4712717.27010804;461184.5488797; ;Mound;Hairy brown circle;TopomapRU 1:50k;1;Y;21/09/2017; ; ; ; ;8431;top;26.5272007;42.5661011
211;1000011506330000000.000000000000000;8432;Adela Sobotkova;2017-09-25 08:00:45.773 GMT;Adela Sobotkova;2017-09-25 08:00:45 GMT;8432;Burial Mound;Survey; ;Scrub;Scrub;Valley Bottom or Plain;42.551742933699998;26.527650141599999;4711146.667000000400000;461220.816592217;3.0;0; ;North;scrubby excavated? mound;files/app/96ea0fa5-5da7-4c80-9285-caa9ed769d50_image-1506326601251.original.jpg;3;40; ; ; ;0.000000000000000;0.000000000000000; ; ; ;No; ; ;3 - damaged;Excavation; ;3 - impaired;Unknown;Unknown; ;no visible trenches but mound looks excavated and repiled; ;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0; ;26.5277004;42.5517006
212;1000011506330000000.000000000000000;8433;Adela Sobotkova;2017-09-25 08:19:00.873 GMT;Adela Sobotkova;2017-09-25 08:19:00 GMT;8433;Extinct Burial Mound;Legacy verification;inaccessible mound location inside photovoltaic field;Other (explain in notes) (photovoltaic);Other (explain in notes);Valley Bottom or Plain;42.531174425400003;26.551560254599998;4708852.080000000100000;463171.716599856;3.0;0; ;Southeast;#598;files/app/1a9dc4b7-8d30-4626-84e1-ee180bd61b8e_image-1506327571933.original.jpg;0;0; ; ; ;0.000000000000000;0.000000000000000; ; ; ;No; ; ;5 - extinct or near extinct;Urban development (photovoltaic station); ;5- none or nearly none;Infrastructure;Other (check satellite imagery); ; ; ;1389;1000041505996772456;203496;Samuel Riley;2017-09-21 12:26:18.444 GMT;Samuel Riley;2017-09-21 12:26:18 GMT;203496;Samuel Riley;2017-09-21 15:26:10+03:00; ; ; ; ; ;Mound;Hairy brown circle;TopomapRU 1:50k;3;Y;21/09/2017; ; ; ; ;8433;125;26.5515995;42.5312004
213;1000011506330000000.000000000000000;8434;Adela Sobotkova;2017-09-25 08:53:07.926 GMT;Adela Sobotkova;2017-09-25 08:53:07 GMT;8434;Burial Mound;Legacy verification;"Eneva mogila, one more 1.6? m high cc a 160m to ESE in annual agr. in panorama and 613-614; after loading past layers I see it''s been recorded in 2010, as 92";Annual agriculture;Pasture (grassland);Hilltop;42.513786192399998;26.600928280500000;4706901.032999999800000;467217.001062039;3.0;0; ;Northeast;#603, facing NE, 613;files/app/f00d5887-7547-4c8b-9591-235eeca6da54_image-1506329921735.original.jpg;5;40; ; ; ;0.000000000000000;0.000000000000000; ; ; ;No; ; ;1 - pristine;Looting; ;1 - full;Looting;Last year;01,round,2.5,1.5,this year?; ;files/app/e970e7b7-91f1-464c-84ef-9c3879df82c7_image-1506329721437.original.jpg;1464;1000041505997795291;203525;Samuel Riley;2017-09-21 12:43:24.752 GMT;Samuel Riley;2017-09-21 12:43:24 GMT;203525;Samuel Riley;2017-09-21 15:43:12+03:00;42.5138336073962;26.6006994475129;4706906.3862834;467198.227629298; ;Mound;Hairy brown circle;TopomapRU 1:50k;5;Y;21/09/2017; ; ; ; ;8434;top;26.6009007;42.5138016
214;1000011506330000000.000000000000000;8436;Adela Sobotkova;2017-09-25 10:03:30.409 GMT;Adela Sobotkova;2017-09-25 10:03:30 GMT;8436;Extinct Burial Mound;Legacy verification;next to road under power lines, potentially there''s a second one further to E, equal size;Annual agriculture;Annual agriculture;Hilltop;42.453257462300002;26.572606701400002;4700191.350999999800000;464856.57169838;3.0;0; ;Northeast;#617-618;files/app/5929a767-4e24-43c9-8dce-eecab1755dd1_image-1506333842271.original.jpg;0;25; ; ; ;0.000000000000000;0.000000000000000;very sprawling mound; ; ;No; ; ;5 - extinct or near extinct;Agriculture; ;5- none or nearly none;Agriculture;Last month; ; ; ;1181;1000061505990236927;204050;Briana Barton;2017-09-21 10:37:24.768 GMT;Briana Barton;2017-09-21 10:37:24 GMT;204050;Briana Barton;2017-09-21 13:37:15+03:00;42.4537181794766;26.5731804014655;4700242.27112137;464904.002866802; ;Mound;Hairy brown circle;TopomapRU 1:50k;1;Y;21/09/2017; ; ; ; ;8436;30;26.5725994;42.4533005
215;1000011506350000000.000000000000000;8437;Adela Sobotkova;2017-09-25 14:01:51.000 GMT;Adela Sobotkova;2017-09-25 14:02:13 GMT;8437;Extinct Burial Mound;Survey;next to road under power lines, second of two;Annual agriculture;Annual agriculture;Hilltop;42.453257462300002;26.572606701400002;4700191.350999999800000;464856.57169840; ;0; ;Northeast;#618;files/server/776b923f-f2c7-41cc-a15f-52b44effe76f_8436_8437_Overview_01.original.jpg;0;20; ; ; ;0.000000000000000;0.000000000000000;very sprawling mound; ; ;No; ; ;5 - extinct or near extinct;Agriculture; ;5- none or nearly none;Agriculture;Last month; ; ; ;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0; ;26.5725994;42.4533005
216;1000021505720000000.000000000000000;9071;Bara Weissova;2017-09-18 06:29:12.587 GMT;Bara Weissova;2017-09-18 06:44:57 GMT;9071;Burial Mound;Legacy verification;elevation marker on top;Pasture (grassland);Pasture (grassland);Valley Bottom or Plain;42.278334083899999;26.249639910900001;4680952.652999999900000;438128.334307122;3.0;74; ;West; ;files/app/17ad15dc-bdc0-4ed4-8609-ed74ba18b184_image-1505716400139.original.jpg;0;50; ;50; ;0.000000000000000;0.000000000000000; ; ; ;No; ; ;4 - seriously damaged;Construction; ;3 - impaired;Other (specify in Annotation) (building activities);Unknown;01,irregular,40,5,0.5, shallow trench all over E part of mound; ;files/app/0fc9ed59-aef1-49e3-b000-298bc224b5e8_image-1505716950434.original.jpg - files/app/50caebac-52d6-4bdb-baba-0947a3262f0b_image-1505717081828.original.jpg;2892; ; ;Bara Weissova;2018-08-03; ; ; ; ; ; ; ; ; ; ;Mound;Hairy black diamond with a dot inside;TopomapRU 1:50k;1;Y;03/08/2018;163.4; ; ; ;9071;top;26.2495995;42.2783012
217;1000021505710000000.000000000000000;9338;Bara Weissova;2017-09-18 05:43:05.293 GMT;Bara Weissova;2017-09-18 05:43:05 GMT;9338;Burial Mound;Legacy verification; ;Annual agriculture;Annual agriculture;Valley Bottom or Plain;42.309344234500003;26.256727516400002;4684390.753999999700000;438742.812742472;3.0;73; ;North; ;files/app/183d3538-8678-47ce-a1f7-c4e01805b75c_image-1505713572818.original.jpg;0;50; ;45; ;0.000000000000000;0.000000000000000; ; ; ;No; ; ;4 - seriously damaged;Agriculture; ;5- none or nearly none;Agriculture;Last month; ; ; ;1983;1000061506149853113;204743;Briana Barton;2017-09-23 06:57:42.085 GMT;Briana Barton;2017-09-23 06:57:42 GMT;204743;Briana Barton;2017-09-23 09:57:31+03:00;42.3089837284844;26.2562056331528;4684351.1011145;438699.451422055; ;Mound;Hairy brown circle;TopomapRU 1:50k;1;Y;23/09/2017; ; ; ; ;9338;40;26.2567005;42.3092995
218;1000031505880000000.000000000000000;9400;Vera Dolezalkova;2017-09-20 04:54:16.610 GMT;Vera Dolezalkova;2017-09-20 05:06:15 GMT;9400;Burial Mound;Legacy verification;Kochomova mogila;Annual agriculture;Annual agriculture;Valley Bottom or Plain;42.445284357200002;26.277565440099998;4699470.352000000000000;440588.476280998;3.0;146;158.3;East;photos 6,7;files/app/968e28ff-7344-452b-a8c9-b16fa7c35ac8_image-1505884193996.original.jpg;0;55; ;50; ;0.000000000000000;0.000000000000000; ; ; ;No; ; ;2 - minor damage;Agriculture; ;3 - impaired;Agriculture;Last month; ; ; ;1735;1000051506003707897;202885;Stephanie Black;2017-09-21 14:21:58.683 GMT;Stephanie Black;2017-09-21 14:21:58 GMT;202885;Stephanie Black;2017-09-21 17:21:45+03:00;42.4450287918666;26.2774583717727;4699442.04910869;440579.429631892; ;Mound;Hairy black diamond with a dot inside;TopomapRU 1:50k;1;Y;21/09/2017; ; ; ; ;9400;top;26.2775993;42.4453011
